,prev,next
0,영희는 학생이다. 그런데,이러한 학생은 공부를 열심히 해야 한다.
1,영희는 학생이다. 그런데,이 학생은 공부를 열심히 해야 한다.
2,영희는 학생이다. 그런데,학생은 공부를 열심히 해야 한다.
3,영희는 미혼이다. 그런데,이러한 미혼은 결혼에 대하여 관심과 부담을 동시에 느낀다.
4,영희는 미혼이다. 그런데,이 미혼은 결혼에 대하여 관심과 부담을 동시에 느낀다.
5,영희는 미혼이다. 그런데,미혼은 결혼에 대하여 관심과 부담을 동시에 느낀다.
6,영수는 농부이다. 그런데,이러한 농부는 농작물에 애정을 가지고 있다.
7,영수는 농부이다. 그런데,이 농부는 농작물에 애정을 가지고 있다.
8,영수는 농부이다. 그런데,농부는 농작물에 애정을 가지고 있다.
9,영희는 마법사이다. 그런데,이러한 마법사는 모두의 시선을 받게 된다.
10,영희는 마법사이다. 그런데,이 마법사는 모두의 시선을 받게 된다.
11,영희는 마법사이다. 그런데,마법사는 모두의 시선을 받게 된다.
12,영희는 작가이다. 그런데,이러한 작가는 현실에서 일어나는 일들을 정확하게 파악하고 있어야 한다.
13,영희는 작가이다. 그런데,이 작가는 현실에서 일어나는 일들을 정확하게 파악하고 있어야 한다.
14,영희는 작가이다. 그런데,작가는 현실에서 일어나는 일들을 정확하게 파악하고 있어야 한다.
15,영희는 공무원이다. 그런데,이러한 공무원은 국민들이 편리한 생활을 영위할 수 있도록 돕는다.
16,영희는 공무원이다. 그런데,이 공무원은 국민들이 편리한 생활을 영위할 수 있도록 돕는다.
17,영희는 공무원이다. 그런데,공무원은 국민들이 편리한 생활을 영위할 수 있도록 돕는다.
18,영수는 국가 유공자이다. 그런데,이러한 국가 유공자는 요즘 국가와 국민들을 위하여 헌신하고 있다.
19,영수는 국가 유공자이다. 그런데,이 국가 유공자는 요즘 국가와 국민들을 위하여 헌신하고 있다.
20,영수는 국가 유공자이다. 그런데,국가 유공자는 요즘 국가와 국민들을 위하여 헌신하고 있다.
21,영희는 비서이다. 그런데,이러한 비서는 책임자의 행정을 돕는 직책이어서 요즘 인기가 높다.
22,영희는 비서이다. 그런데,이 비서는 책임자의 행정을 돕는 직책이어서 요즘 인기가 높다.
23,영희는 비서이다. 그런데,비서는 책임자의 행정을 돕는 직책이어서 요즘 인기가 높다.
24,영수는 대통령이다. 그런데,이러한 대통령은 국가의 중요 정책들을 수립한다.
25,영수는 대통령이다. 그런데,이 대통령은 국가의 중요 정책들을 수립한다.
26,영수는 대통령이다. 그런데,대통령은 국가의 중요 정책들을 수립한다.
27,영희는 군인이다. 그런데,이러한 군인은 국토의 방위를 책임지고 있어서 요즘 인기가 높다.
28,영희는 군인이다. 그런데,이 군인은 국토의 방위를 책임지고 있어서 요즘 인기가 높다.
29,영희는 군인이다. 그런데,군인은 국토의 방위를 책임지고 있어서 요즘 인기가 높다.
30,영희는 운동선수이다. 그런데,이러한 운동선수는 현재 학생들의 부러움을 사고 있다.
31,영희는 운동선수이다. 그런데,이 운동선수는 현재 학생들의 부러움을 사고 있다.
32,영희는 운동선수이다. 그런데,운동선수는 현재 학생들의 부러움을 사고 있다.
33,영수는 예술가이다. 그런데,이러한 예술가는 항상 예술 작품을 창작하기 위해 노력한다.
34,영수는 예술가이다. 그런데,이 예술가는 항상 예술 작품을 창작하기 위해 노력한다.
35,영수는 예술가이다. 그런데,예술가는 항상 예술 작품을 창작하기 위해 노력한다.
36,영수는 사업가이다. 그런데,이러한 사업가는 현재의 사업 환경을 토대로 미래의 판매 경로를 예측한다.
37,영수는 사업가이다. 그런데,이 사업가는 현재의 사업 환경을 토대로 미래의 판매 경로를 예측한다.
38,영수는 사업가이다. 그런데,사업가는 현재의 사업 환경을 토대로 미래의 판매 경로를 예측한다.
39,영희는 외국인이다. 그런데,이러한 외국인은 외국어를 사용한다.
40,영희는 외국인이다. 그런데,이 외국인은 외국어를 사용한다.
41,영희는 외국인이다. 그런데,외국인은 외국어를 사용한다.
42,영희는 연예인이다. 그런데,이러한 연예인은 주로 예명을 사용한다.
43,영희는 연예인이다. 그런데,이 연예인은 주로 예명을 사용한다.
44,영희는 연예인이다. 그런데,연예인은 주로 예명을 사용한다.
45,영희는 유목민이다. 그런데,이러한 유목민은 목초를 찾아 이곳저곳을 유랑한다.
46,영희는 유목민이다. 그런데,이 유목민은 목초를 찾아 이곳저곳을 유랑한다.
47,영희는 유목민이다. 그런데,유목민은 목초를 찾아 이곳저곳을 유랑한다.
48,영수는 검사이다. 그런데,이러한 검사는 증거를 토대로 범죄를 수사한다.
49,영수는 검사이다. 그런데,이 검사는 증거를 토대로 범죄를 수사한다.
50,영수는 검사이다. 그런데,검사는 증거를 토대로 범죄를 수사한다.
51,영희는 스튜어디스이다. 그런데,이러한 스튜어디스는 항상 승객들의 안전을 생각한다.
52,영희는 스튜어디스이다. 그런데,이 스튜어디스는 항상 승객들의 안전을 생각한다.
